机构,户头,名称,投入,购入时间,到期时间,利息类型,优惠,投资类别,年化率,说明,已完成
国美,czh,投金宝-华人1号年度投1729,5000,2016/3/3,2017/3/3,按月付息到期还本,0,p2p/不可变现标,0.1,,F
国美,czh,美美赚-美盈1号1058,50000,2016/6/20,2016/12/17,一次性还本付息,50,平台固收/企业融资理财,0.078,优惠券50元,F
恒大,czh,恒耀安益261期2号,3000,2016/3/29,2017/3/24,一次性还本付息,30,p2p/不可变现标,0.073,(ok)优惠券30元,F
恒大,czh,恒耀惠赢11期4号,10000,2016/4/12,2018/4/2,一次性还本付息,100,p2p/不可变现标,0.08,(ok)优惠券100元,F
恒大,czh,恒耀惠赢22期1号,10000,2016/4/12,2018/4/2,一次性还本付息,50,p2p/不可变现标,0.08,(ok)优惠券50元,F
人人贷,czh,u计划-c160603-2期,10000,2016/6/3,2017/6/8,一次性还本付息,25,p2p/理财计划,0.088,(ok)优惠券25元,F
人人贷,czh,u计划-c160606期,10000,2016/6/3,2017/6/11,一次性还本付息,0,p2p/理财计划,0.088,,F
人人贷,czh,u计划-c160616期,10000,2016/6/16,2017/6/21,一次性还本付息,0,p2p/理财计划,0.092,,F
人人贷,czh,u计划-c续0573期,5000,2016/7/9,2017/7/10,一次性还本付息,0,p2p/理财计划,0.098,,F
人人贷,czh,u计划-c160804-2期,10000,2016/8/4,2017/8/9,一次性还本付息,0,p2p/理财计划,0.086,,F
有利网,czh,定存宝24-160612,20000,2016/6/8,2018/6/8,一次性还本付息,30,p2p/理财计划,0.115,（ok）优惠券30元,F
微贷网,czh,房乐贷[BJ1606057],10072,2016/7/14,2017/1/14,按月付息到期还本,50,p2p/理财计划,0.105,（ok）优惠券50元,F
