机构,户头,成交数量,成交单价,买入手续费,成交日期,权益类持仓
蚂蚁聚宝,czh,834.75,1.197,0.000804897,2016/9/21,基金/谱蓝/000290鹏华全球高收益债30%
蚂蚁聚宝,czh,1299.13,1.30699776,0.0012,2016/5/4,基金/谱蓝/118002易方达标普消费品17%
蚂蚁聚宝,czh,1328.61,1.277997305,0.0012,2016/5/17,基金/谱蓝/118002易方达标普消费品17%
蚂蚁聚宝,czh,1324.46,1.282001721,0.0012,2016/6/23,基金/谱蓝/118002易方达标普消费品17%
蚂蚁聚宝,czh,1388.88,1.310993318,0.001201442,2016/7/18,基金/谱蓝/118002易方达标普消费品17%
蚂蚁聚宝,czh,1211.62,1.361,0.001203858,2016/8/18,基金/谱蓝/118002易方达标普消费品17%
蚂蚁聚宝,czh,1297.1,1.336,0.001197051,2016/9/19,基金/谱蓝/118002易方达标普消费品17%
谱蓝,czh,10000,1,0,2016/10/19,基金/谱蓝组合/zh0011谱蓝
支付宝,czh,4.208045784,237.64,0,2015/3/6,基金/黄金ETFI/000930博时黄金ETFI
支付宝,czh,4.214963119,237.25,0,2015/3/22,基金/黄金ETFI/000930博时黄金ETFI
支付宝,czh,0.0349,237.25,0,2015/3/22,基金/黄金ETFI/000930博时黄金ETFI
国泰君安,czh,2900,0.421,0,2016/6/7,基金/分级基金定投/150023深成指B
国泰君安,czh,3000,0.398,0,2016/6/14,基金/分级基金定投/150023深成指B
国泰君安,czh,100,24.41,0.002,2016/6/29,股票/股票雷达跟投/002405四维图新
富国基金,czh,839,1.191895113,0,2015/7/10,基金/进取/161031富国中证工业4.0指数分级
淘宝理财,czh,366.14,2.72300213,0.003,2015/3/22,基金/进取/519670银河行业优选
淘宝理财,czh,334.6760658,2.979,0.003,2015/4/7,基金/进取/519670银河行业优选
淘宝理财,czh,322.0284238,3.096,0.003,2015/4/23,基金/进取/519670银河行业优选
淘宝理财,czh,255.0524431,3.909,0.003,2015/5/25,基金/进取/519670银河行业优选
淘宝理财,czh,227.7815856,4.377,0.003,2015/6/10,基金/进取/519670银河行业优选
淘宝理财,czh,412.6655629,2.416,0.003,2015/6/10,基金/进取/519670银河行业优选
