机构,户头,成交数量,成交单价,成交金额,成交日期,权益类持仓
国泰君安,czh,200,3.332,666.4,2016/1/11,基金/进取/510300300EFT
国泰君安,czh,300,2.889,866.7,2016/2/1,基金/进取/510300300EFT
国泰君安,czh,200,3.127,625.4,2016/3/17,基金/进取/510300300EFT
国泰君安,czh,300,3.223,966.9,2016/4/18,基金/进取/510300300EFT
国泰君安,czh,400,3.074,1229.6,2016/5/17,基金/进取/510300300EFT
国泰君安,czh,400,3.111,1244.4,2016/6/20,基金/进取/510300300EFT
国泰君安,czh,500,3.316,1663,2016/7/18,基金/进取/510300300EFT
华泰证券,czh,300,3.444,1033.46,2016/8/18,基金/进取/510300300EFT
华泰证券,czh,300,3.317,995.35,2016/9/19,基金/进取/510300300EFT
华泰证券,czh,300,3.379,1013.95,2016/10/18,基金/进取/510300300EFT
国泰君安,czh,100,8.916,891.6,2015/5/14,基金/进取/510500500EFT
国泰君安,czh,100,11.42,1142,2015/6/10,基金/进取/510500500EFT
国泰君安,czh,200,7,1400,2015/7/6,基金/进取/510500500EFT
国泰君安,czh,100,6.68,668,2015/7/7,基金/进取/510500500EFT
国泰君安,czh,100,6.151,615.1,2015/7/8,基金/进取/510500500EFT
国泰君安,czh,100,6.517,651.7,2015/9/11,基金/进取/510500500EFT
国泰君安,czh,100,7.143,714.3,2016/1/6,基金/进取/510500500EFT
国泰君安,czh,100,6.539,653.9,2016/1/11,基金/进取/510500500EFT
国泰君安,czh,300,5.154,1546.2,2016/3/17,基金/进取/510500500EFT
国泰君安,czh,100,6.495,649.5,2016/4/18,基金/进取/510500500EFT
国泰君安,czh,200,6.004,1200.8,2016/5/17,基金/进取/510500500EFT
国泰君安,czh,200,6.221,1244.2,2016/6/20,基金/进取/510500500EFT
国泰君安,czh,200,6.726,1350,2016/7/18,基金/进取/510500500EFT
华泰证券,czh,200,6.787,1357.74,2016/8/18,基金/进取/510500500EFT
华泰证券,czh,200,6.621,1324.53,2016/9/19,基金/进取/510500500EFT
华泰证券,czh,100,6.815,681.67,2016/10/18,基金/进取/510500500EFT
国泰君安,czh,1500,1.097,1645.5,2015/8/10,基金/进取/510900H股ETF
国泰君安,czh,1500,0.99,1485,2015/9/10,基金/进取/510900H股ETF
国泰君安,czh,100,0.992,99.2,2015/9/11,基金/进取/510900H股ETF
国泰君安,czh,300,0.974,292.2,2015/9/14,基金/进取/510900H股ETF
国泰君安,czh,300,1.063,318.9,2015/10/16,基金/进取/510900H股ETF
国泰君安,czh,500,1.055,527.5,2015/11/10,基金/进取/510900H股ETF
国泰君安,czh,600,0.988,592.8,2015/12/18,基金/进取/510900H股ETF
国泰君安,czh,200,0.957,191.4,2016/1/6,基金/进取/510900H股ETF
国泰君安,czh,700,0.898,628.6,2016/1/11,基金/进取/510900H股ETF
国泰君安,czh,1300,0.894,1162.2,2016/3/17,基金/进取/510900H股ETF
国泰君安,czh,1100,0.916,1007.6,2016/4/18,基金/进取/510900H股ETF
国泰君安,czh,1400,0.859,1202.6,2016/5/17,基金/进取/510900H股ETF
国泰君安,czh,1900,0.895,1700.5,2016/6/20,基金/进取/510900H股ETF
国泰君安,czh,100,0.977,102.7,2016/7/18,基金/进取/510900H股ETF
国泰君安,czh,700,0.977,688.9,2016/7/18,基金/进取/510900H股ETF
华泰证券,czh,700,1.033,723.28,2016/8/18,基金/进取/510900H股ETF
华泰证券,czh,1000,1.049,1049.26,2016/9/19,基金/进取/510900H股ETF
华泰证券,czh,1500,1.048,1572.39,2016/10/18,基金/进取/510900H股ETF
华泰证券,czh,700,1.377,964.14,2016/8/22,基金/进取/513500标普500
富国基金,czh,445.36,2.242,1000,2016/9/19,基金/进取/100056富国低碳环保
富国基金,czh,429.83,2.323,1000,2016/10/18,基金/进取/100056富国低碳环保
蚂蚁聚宝,czh,763.38,1.308,1000,2016/7/28,基金/进取/100032富国中证红利指数增强
蚂蚁聚宝,czh,733.65,1.361,1000,2016/8/18,基金/进取/100032富国中证红利指数增强
蚂蚁聚宝,czh,747.94,1.335,1000,2016/9/19,基金/进取/100032富国中证红利指数增强
蚂蚁聚宝,czh,733.11,1.362,1000,2016/10/19,基金/进取/100032富国中证红利指数增强
蚂蚁聚宝,czh,1010.52,0.9884,1000,2016/8/26,基金/进取/000968广发中证养老指数A
蚂蚁聚宝,czh,1024.41,0.975,1000,2016/9/19,基金/进取/000968广发中证养老指数A
蚂蚁聚宝,czh,448.56,2.226,1000,2016/9/29,基金/进取/519712交银阿尔法核心混合
蚂蚁聚宝,czh,427.26,2.337,1000,2016/10/18,基金/进取/519712交银阿尔法核心混合
富国基金,czh,2098.18,0.761,3974.737026,2016/2/3,基金/进取/161024军工etf
富国基金,czh,31652.55,1.019000049,52000,2016/2/4,基金/进取/161024军工etf
富国基金,czh,980.18,1.020220776,1000,2016/2/4,基金/进取/161024军工etf
富国基金,czh,1928.19,1.03724218,2000,2016/3/17,基金/进取/161024军工etf
富国基金,czh,894.98,1.117343404,1000,2016/4/20,基金/进取/161024军工etf
富国基金,czh,994.82,1.004000724,1000,2016/5/18,基金/进取/161024军工etf
富国基金,czh,938.72,1.064002045,1000,2016/6/23,基金/进取/161024军工etf
富国基金,czh,851.49,1.173002619,1000,2016/7/16,基金/进取/161024军工etf
华泰证券,czh,1000,1.036,1036.26,2016/8/18,基金/进取/512660军工etf
华泰证券,czh,1000,0.993,993.25,2016/9/19,基金/进取/512660军工etf
华泰证券,czh,1100,0.962,1058.46,2016/9/28,基金/进取/512660军工etf
华泰证券,czh,1000,1.006,1006.25,2016/10/19,基金/进取/512660军工etf
蚂蚁聚宝,czh,968.48,1.031,1000,2016/9/29,基金/进取/002449民生加银量化
蚂蚁聚宝,czh,952.77,1.048,1000,2016/10/18,基金/进取/002449民生加银量化
华泰证券,czh,600,1.661,996.85,2016/9/12,基金/进取/513100纳指EFT
华泰证券,czh,600,1.699,1019.65,2016/9/21,基金/进取/513100纳指EFT
华泰证券,czh,100,1.022,102.3,2016/9/1,基金/进取/510810上海国企
华泰证券,czh,900,1.013,911.93,2016/9/2,基金/进取/510810上海国企
华泰证券,czh,1000,1,1000.25,2016/9/19,基金/进取/510810上海国企
华泰证券,czh,1000,1.004,1004.25,2016/10/19,基金/进取/510810上海国企
蚂蚁聚宝,czh,1379.56,0.724,1000,2016/7/26,基金/进取/001051上证50ETF
蚂蚁聚宝,czh,996.6,1.0019,1000,2016/8/10,基金/进取/110003上证50ETF
华泰证券,czh,400,2.307,923.03,2016/8/18,基金/进取/510050上证50ETF
华泰证券,czh,500,2.239,1119.78,2016/9/19,基金/进取/510050上证50ETF
华泰证券,czh,400,2.284,913.83,2016/10/19,基金/进取/510050上证50ETF
国泰君安,czh,400,2.52,1010,2016/7/28,基金/进取/510880上证红利etf
华泰证券,czh,400,2.647,1059.06,2016/8/18,基金/进取/510880上证红利etf
华泰证券,czh,400,2.571,1028.66,2016/9/19,基金/进取/510880上证红利etf
华泰证券,czh,400,2.626,1050.66,2016/10/19,基金/进取/510880上证红利etf
华泰证券,czh,2600,0.391,1016.85,2016/10/17,基金/进取/150023深成指B
蚂蚁聚宝,czh,999.18,1,1000,2016/8/23,基金/进取/001733泰达宏利量化增强股票
蚂蚁聚宝,czh,978.26,1.021,1000,2016/10/19,基金/进取/001733泰达宏利量化增强股票
蛋卷基金,czh,999.18,1,1000,2016/6/27,基金/进取/001568泰达宏利增利混合
蚂蚁聚宝,czh,1256.6,0.795,1000,2016/8/23,基金/进取/001550天弘中证医药100指数A
蚂蚁聚宝,czh,1266,0.7891,1000,2016/9/19,基金/进取/001550天弘中证医药100指数A
蛋卷基金,czh,9464.47,1.050243701,10000,2016/7/28,基金/进取/001511兴全新视野
蛋卷基金,czh,9195.52,1.080961164,10000,2016/10/27,基金/进取/001511兴全新视野
蚂蚁聚宝,czh,464.84,2.1487,1000,2016/8/3,基金/进取/110026易方达创业板ETF联接
蚂蚁聚宝,czh,453.3,2.2034,1000,2016/9/19,基金/进取/110026易方达创业板ETF联接
蚂蚁聚宝,czh,761.63,1.311004031,1000,2016/6/23,基金/进取/519670银河行业优选
蚂蚁聚宝,czh,720.94,1.384997365,1000,2016/6/23,基金/进取/519670银河行业优选
蚂蚁聚宝,czh,679.25,1.470003681,1000,2016/7/18,基金/进取/519670银河行业优选
蚂蚁聚宝,czh,675.12,1.479,1000,2016/8/18,基金/进取/519670银河行业优选
蚂蚁聚宝,czh,688.15,1.451,1000,2016/9/19,基金/进取/519670银河行业优选
蚂蚁聚宝,czh,665.22,1.501,1000,2016/10/18,基金/进取/519670银河行业优选
蚂蚁聚宝,czh,445.76,2.24,1000,2016/9/29,基金/进取/519983长信量化先锋混合
蚂蚁聚宝,czh,431.69,2.313,1000,2016/10/19,基金/进取/519983长信量化先锋混合
蚂蚁聚宝,czh,154.87,2.313,0,2016/10/27,基金/进取/519983长信量化先锋混合
华泰证券,czh,1000,1.055,1055.26,2016/8/26,基金/进取/512880证券etf
华泰证券,czh,1000,1.015,1015.25,2016/9/19,基金/进取/512880证券etf
华泰证券,czh,1000,1.032,1032.26,2016/10/19,基金/进取/512880证券etf
蚂蚁聚宝,czh,832.33,0.960003845,800,2016/5/5,基金/谱蓝/000614华安德国30（DAX）ETF联接8%
蚂蚁聚宝,czh,837.57,0.953997875,800,2016/5/17,基金/谱蓝/000614华安德国30（DAX）ETF联接8%
蚂蚁聚宝,czh,824.6,0.969003153,800,2016/6/23,基金/谱蓝/000614华安德国30（DAX）ETF联接8%
蚂蚁聚宝,czh,924.51,0.968,896,2016/7/18,基金/谱蓝/000614华安德国30（DAX）ETF联接8%
蚂蚁聚宝,czh,668.79,1.026,687,2016/8/18,基金/谱蓝/000614华安德国30（DAX）ETF联接8%
蚂蚁聚宝,czh,881.7,0.998,881,2016/9/19,基金/谱蓝/000614华安德国30（DAX）ETF联接8%
蚂蚁聚宝,czh,1024.45,1.462004002,1500,2016/5/5,基金/谱蓝/519696交银环球精选15%
蚂蚁聚宝,czh,1025.15,1.461005706,1500,2016/5/17,基金/谱蓝/519696交银环球精选15%
蚂蚁聚宝,czh,1003.18,1.493002253,1500,2016/6/23,基金/谱蓝/519696交银环球精选15%
蚂蚁聚宝,czh,919.24,1.562,1438,2016/7/18,基金/谱蓝/519696交银环球精选15%
蚂蚁聚宝,czh,957.27,1.598,1532,2016/8/18,基金/谱蓝/519696交银环球精选15%
蚂蚁聚宝,czh,908.24,1.593,1449,2016/9/16,基金/谱蓝/519696交银环球精选15%
蚂蚁聚宝,czh,597.36,1.67202357,1000,2016/5/4,基金/谱蓝/000311景顺长城沪深300增强10%
蚂蚁聚宝,czh,623.47,1.6020017,1000,2016/5/17,基金/谱蓝/000311景顺长城沪深300增强10%
蚂蚁聚宝,czh,613.51,1.628009323,1000,2016/6/23,基金/谱蓝/000311景顺长城沪深300增强10%
蚂蚁聚宝,czh,507.92,1.758,894,2016/7/18,基金/谱蓝/000311景顺长城沪深300增强10%
蚂蚁聚宝,czh,511.15,1.827,935,2016/8/18,基金/谱蓝/000311景顺长城沪深300增强10%
蚂蚁聚宝,czh,632.74,1.779,1127,2016/9/19,基金/谱蓝/000311景顺长城沪深300增强10%
蚂蚁聚宝,czh,1534.1,1.302001173,2000,2016/5/5,基金/谱蓝/270042纳斯达克100指数20%
蚂蚁聚宝,czh,1545.98,1.291996015,2000,2016/5/17,基金/谱蓝/270042纳斯达克100指数20%
蚂蚁聚宝,czh,1513.18,1.320001586,2000,2016/6/23,基金/谱蓝/270042纳斯达克100指数20%
蚂蚁聚宝,czh,1245.92,1.446845303,1805,2016/7/18,基金/谱蓝/040046纳斯达克100指数20%
蚂蚁聚宝,czh,1313.64,1.472,1936,2016/8/18,基金/谱蓝/040046纳斯达克100指数20%
蚂蚁聚宝,czh,1307.89,1.48,1938,2016/9/19,基金/谱蓝/040046纳斯达克100指数20%
蚂蚁聚宝,czh,2529.62,1.185000119,3000,2016/5/5,基金/谱蓝/000290鹏华全球高收益债30%
蚂蚁聚宝,czh,2512.66,1.192998655,3000,2016/5/17,基金/谱蓝/000290鹏华全球高收益债30%
蚂蚁聚宝,czh,2573.05,1.164998737,3000,2016/6/23,基金/谱蓝/000290鹏华全球高收益债30%
蚂蚁聚宝,czh,2600.89,1.209002457,3147,2016/7/18,基金/谱蓝/000290鹏华全球高收益债30%
蚂蚁聚宝,czh,259.96,1.209002457,0,2016/7/21,基金/谱蓝/000290鹏华全球高收益债30%
蚂蚁聚宝,czh,839.66,1.19,1000,2016/8/18,基金/谱蓝/000290鹏华全球高收益债30%
蚂蚁聚宝,czh,840.37,1.189,1000,2016/8/19,基金/谱蓝/000290鹏华全球高收益债30%
蚂蚁聚宝,czh,834.06,1.198,1000,2016/8/22,基金/谱蓝/000290鹏华全球高收益债30%
蚂蚁聚宝,czh,836.15,1.195,1000,2016/9/19,基金/谱蓝/000290鹏华全球高收益债30%
蚂蚁聚宝,czh,837.55,1.193,1000,2016/9/20,基金/谱蓝/000290鹏华全球高收益债30%
蚂蚁聚宝,czh,834.75,1.197,1000,2016/9/21,基金/谱蓝/000290鹏华全球高收益债30%
蚂蚁聚宝,czh,1299.13,1.30699776,1700,2016/5/4,基金/谱蓝/118002易方达标普消费品17%
蚂蚁聚宝,czh,1328.61,1.277997305,1700,2016/5/17,基金/谱蓝/118002易方达标普消费品17%
蚂蚁聚宝,czh,1324.46,1.282001721,1700,2016/6/23,基金/谱蓝/118002易方达标普消费品17%
蚂蚁聚宝,czh,1388.88,1.310993318,1823,2016/7/18,基金/谱蓝/118002易方达标普消费品17%
蚂蚁聚宝,czh,1211.62,1.361,1651,2016/8/18,基金/谱蓝/118002易方达标普消费品17%
蚂蚁聚宝,czh,1297.1,1.336,1735,2016/9/19,基金/谱蓝/118002易方达标普消费品17%
谱蓝,czh,10000,1,10000,2016/10/19,基金/谱蓝组合/zh0011谱蓝
蚂蚁聚宝,czh,-4.208045784,272.96,1148.628177,2016/6/16,基金/黄金ETFI/000930博时黄金ETFI
蚂蚁聚宝,czh,-4.214963119,272.96,1150.516333,2016/6/16,基金/黄金ETFI/000930博时黄金ETFI
蚂蚁聚宝,czh,-0.0349,272.96,9.526304,2016/6/16,基金/黄金ETFI/000930博时黄金ETFI
国泰君安,czh,-2900,0.418,1209.7756,2016/6/27,基金/分级基金定投/150023深成指B
国泰君安,czh,-3000,0.418,1251.492,2016/6/27,基金/分级基金定投/150023深成指B
国泰君安,czh,-100,25.35,2527.395,2016/7/1,股票/股票雷达跟投/002405四维图新
富国基金,czh,-839,1.036,863.988776,2016/7/1,基金/进取/161031富国中证工业4.0指数分级
淘宝理财,czh,-366.14,1.42,516.7992872,2016/6/27,基金/进取/519670银河行业优选
淘宝理财,czh,-334.6760658,1.42,472.3885733,2016/6/27,基金/进取/519670银河行业优选
淘宝理财,czh,-322.0284238,1.42,454.5366796,2016/6/27,基金/进取/519670银河行业优选
淘宝理财,czh,-255.0524431,1.42,360.0014224,2016/6/27,基金/进取/519670银河行业优选
淘宝理财,czh,-227.7815856,1.42,321.5091524,2016/6/27,基金/进取/519670银河行业优选
淘宝理财,czh,-412.6655629,1.42,582.4691887,2016/6/27,基金/进取/519670银河行业优选
淘宝理财,czh,-412.1537826,1.42,581.746821,2016/6/27,基金/进取/519670银河行业优选
淘宝理财,czh,-528.9124668,1.42,746.5493687,2016/6/27,基金/进取/519670银河行业优选
淘宝理财,czh,-1800.85,1.42,2557.207,2016/6/27,基金/进取/519670银河行业优选
银河基金,czh,-761.1026034,1.42,1074.281103,2016/6/27,基金/进取/519670银河行业优选
淘宝理财,czh,-717.27,1.42,1012.41226,2016/6/27,基金/进取/519670银河行业优选
国泰君安,czh,-814,1.116,902.973456,2016/7/1,基金/进取/161024军工etf
国泰君安,czh,-200,15.86,3163.7528,2016/7/4,股票/股票雷达跟投/600837海通证券
国泰君安,czh,-100,17.25,1718.2725,2016/7/4,股票/股票雷达跟投/600171上海贝岭
富国基金,czh,-2706.48,1.117,3008.02816,2016/6/29,基金/进取/161024军工etf
国泰君安,czh,-100,17.48,1741.22,2016/7/5,股票/股票雷达跟投/600999招商证券
国泰君安,czh,-100,9.43,937.5048907,2016/7/7,股票/股票雷达跟投/000939凯迪生态
国泰君安,czh,-100,8.87,881,2016/7/8,股票/股票雷达跟投/600491龙元建设
国泰君安,czh,-100,15.41,1534.46,2016/7/8,股票/股票雷达跟投/002222福晶科技
国泰君安,czh,-200,14.95,2981.95,2016/7/11,股票/股票雷达跟投/600585海螺水泥
国泰君安,czh,-600,15.92,9527.93,2016/7/13,股票/股票雷达跟投/600585海螺水泥
国泰君安,czh,-500,11.17,5570.92,2016/7/15,股票/股票雷达跟投/601599鹿港文化
蚂蚁聚宝,czh,0,1.126,180.51,2016/7/18,基金/纯债/000205易方达投资级信用债A
蚂蚁聚宝,czh,0,1.05,383.58,2016/7/18,基金/纯债/000563南方通利债券a
国泰君安,czh,-300,16.41,4910,2016/7/20,股票/股票雷达跟投/002440闰土股份
国泰君安,czh,-300,26.61,7963.05,2016/7/20,股票/股票雷达跟投/002673西部证券
蚂蚁聚宝,czh,0,1.206,251.25,2016/7/20,基金/纯债/270048广发纯债债券A
国泰君安,czh,-100,37.31,3721.6,2016/7/25,股票/股票雷达跟投/603959百利科技
蚂蚁聚宝,czh,-8130,1.2378,10013,2016/7/21,基金/可转债/519977长信可转债债券A
国泰君安,czh,-1600,10.19,16262.91613,2016/8/3,股票/股票雷达跟投/600130波导股份
国泰君安,czh,-1500,10.19,15246.48387,2016/8/3,股票/股票雷达跟投/600130波导股份
国泰君安,czh,-2300,8.11,18606.37,2016/8/4,股票/股票雷达跟投/002495佳隆股份
国泰君安,czh,-500,27.62,13775.47,2016/8/5,股票/股票雷达跟投/300444双杰电气
国泰君安,czh,-700,14.28,9971.01,2016/8/5,股票/股票雷达跟投/002104恒宝股份
国泰君安,czh,-500,14.28,7122.15,2016/8/5,股票/股票雷达跟投/002104恒宝股份
国泰君安,czh,-1500,14.28,21366.45,2016/8/5,股票/股票雷达跟投/002104恒宝股份
国泰君安,czh,-100,18.46,1839.15,2016/8/8,股票/股票雷达跟投/002276万马股份
国泰君安,czh,-1000,1.684,1681.47375,2016/8/8,基金/长期/513100纳指EFT
国泰君安,czh,-1000,1.684,1681.47375,2016/8/8,基金/长期/513100纳指EFT
国泰君安,czh,-700,1.684,1177.031625,2016/8/8,基金/长期/513100纳指EFT
国泰君安,czh,-200,1.684,336.29475,2016/8/8,基金/长期/513100纳指EFT
国泰君安,czh,-500,1.684,840.736875,2016/8/8,基金/长期/513100纳指EFT
国泰君安,czh,-100,1.684,168.147375,2016/8/8,基金/长期/513100纳指EFT
国泰君安,czh,-400,1.684,672.5895,2016/8/8,基金/长期/513100纳指EFT
国泰君安,czh,-800,1.684,1345.179,2016/8/8,基金/长期/513100纳指EFT
国泰君安,czh,-700,1.684,1177.031625,2016/8/8,基金/长期/513100纳指EFT
国泰君安,czh,-500,1.684,840.736875,2016/8/8,基金/长期/513100纳指EFT
国泰君安,czh,-1200,1.684,2017.7685,2016/8/8,基金/长期/513100纳指EFT
国泰君安,czh,-900,1.684,1513.326375,2016/8/8,基金/长期/513100纳指EFT
国泰君安,czh,-800,1.397,1115.923333,2016/8/8,基金/长期/513500标普500
国泰君安,czh,-900,1.397,1255.41375,2016/8/8,基金/长期/513500标普500
国泰君安,czh,-1000,1.397,1394.904167,2016/8/8,基金/长期/513500标普500
国泰君安,czh,-1100,1.397,1534.394583,2016/8/8,基金/长期/513500标普500
国泰君安,czh,-400,1.397,557.9616667,2016/8/8,基金/长期/513500标普500
国泰君安,czh,-400,1.397,557.9616667,2016/8/8,基金/长期/513500标普500
国泰君安,czh,-500,1.397,697.4520833,2016/8/8,基金/长期/513500标普500
国泰君安,czh,-800,1.397,1115.923333,2016/8/8,基金/长期/513500标普500
国泰君安,czh,-900,1.397,1255.41375,2016/8/8,基金/长期/513500标普500
国泰君安,czh,-400,1.397,557.9616667,2016/8/8,基金/长期/513500标普500
国泰君安,czh,-1500,1.397,2092.35625,2016/8/8,基金/长期/513500标普500
国泰君安,czh,-900,1.397,1255.41375,2016/8/8,基金/长期/513500标普500
财富证券,czh,-100,16.08,1605.954706,2016/8/9,股票/股票雷达跟投/603618杭电股份
财富证券,czh,-1600,16.08,25663.68,2016/8/9,股票/股票雷达跟投/603618杭电股份
财富证券,czh,-100,16.59,1654.8525,2016/8/9,股票/股票雷达跟投/603618杭电股份
财富证券,czh,-200,16.59,3309.705,2016/8/9,股票/股票雷达跟投/603618杭电股份
财富证券,czh,-300,16.59,4964.5575,2016/8/9,股票/股票雷达跟投/603618杭电股份
财富证券,czh,-1200,16.59,19858.23,2016/8/9,股票/股票雷达跟投/603618杭电股份
财富证券,czh,-700,26.15,18282.474,2016/8/9,股票/股票雷达跟投/300062中能电气
财富证券,czh,-300,26.15,7825.3875,2016/8/9,股票/股票雷达跟投/300062中能电气
财富证券,czh,-300,22.21,6654.537273,2016/8/9,股票/股票雷达跟投/600604市北高新
财富证券,czh,-800,22.21,17745.43273,2016/8/9,股票/股票雷达跟投/600604市北高新
财富证券,czh,-500,14.28,7127.72,2016/8/9,股票/股票雷达跟投/600872中炬高新
国泰君安,czh,-1800,5.21,9354.373043,2016/8/12,股票/股票雷达跟投/600313农发种业
国泰君安,czh,-500,5.21,2598.4875,2016/8/12,股票/股票雷达跟投/600313农发种业
财富证券,czh,-400,22.99,1148.628177,2016/8/16,股票/股票雷达跟投/002772众兴菌业
财富证券,czh,-200,39.99,7985.39,2016/8/17,股票/股票雷达跟投/600680上海普天
财富证券,czh,-1000,8.95,8936.23,2016/8/18,股票/股票雷达跟投/000554泰山石油
蚂蚁聚宝,czh,-935.04,1.0769,1001.908369,2016/8/31,基金/可转债/340001兴全可转债全球混合
蚂蚁聚宝,czh,-923.46,1.0769,989.5002378,2016/8/31,基金/可转债/340001兴全可转债全球混合
蚂蚁聚宝,czh,-7903.2,1.258,9892.513235,2016/8/31,基金/可转债/519977长信可转债债券A
蚂蚁聚宝,czh,-228.02,1.258,285.4148785,2016/8/31,基金/可转债/519977长信可转债债券A
财富证券,czh,-500,15.3,7637.35,2016/9/1,股票/股票雷达跟投/000055方大集团
国泰君安,czh,-100,22.59,2251.69,2016/9/1,股票/股票雷达跟投/600571DR信雅达
财富证券,czh,-300,15.5,4640.35,2016/9/2,股票/股票雷达跟投/002440闰土股份
富国基金,czh,-504.04,2.362,1200.301307,2016/10/13,基金/进取/100056富国低碳环保
富国基金,czh,-497.01,2.362,1183.560338,2016/10/13,基金/进取/100056富国低碳环保
富国基金,czh,-495.78,2.362,1180.631263,2016/10/13,基金/进取/100056富国低碳环保
富国基金,czh,-483.07,2.362,1150.364162,2016/10/13,基金/进取/100056富国低碳环保
富国基金,czh,-454.07,2.362,1081.304687,2016/10/13,基金/进取/100056富国低碳环保
富国基金,czh,-453.45,2.362,1079.828243,2016/10/13,基金/进取/100056富国低碳环保
天天基金,czh,-5000,1,5000,2016/10/20,基金/货币基金/hb09002货币-大成现金增利
