机构,户头,成交数量,成交单价,成交日期,权益类持仓
国泰君安,czh,1500,0.99,2015/9/10,基金/进取/510900H股ETF
国泰君安,czh,100,0.992,2015/9/11,基金/进取/510900H股ETF
国泰君安,czh,300,0.974,2015/9/14,基金/进取/510900H股ETF
国泰君安,czh,300,1.063,2015/10/16,基金/进取/510900H股ETF
国泰君安,czh,500,1.055,2015/11/10,基金/进取/510900H股ETF
国泰君安,czh,600,0.988,2015/12/18,基金/进取/510900H股ETF
国泰君安,czh,200,0.957,2016/1/6,基金/进取/510900H股ETF
国泰君安,czh,700,0.898,2016/1/11,基金/进取/510900H股ETF
国泰君安,czh,1300,0.894,2016/3/17,基金/进取/510900H股ETF
国泰君安,czh,1100,0.916,2016/4/18,基金/进取/510900H股ETF
国泰君安,czh,1400,0.859,2016/5/17,基金/进取/510900H股ETF
国泰君安,czh,1900,0.895,2016/6/20,基金/进取/510900H股ETF
国泰君安,czh,100,0.977,2016/7/18,基金/进取/510900H股ETF
国泰君安,czh,700,0.977,2016/7/18,基金/进取/510900H股ETF
华泰证券,czh,700,1.033,2016/8/18,基金/进取/510900H股ETF
华泰证券,czh,1000,1.049,2016/9/19,基金/进取/510900H股ETF
华泰证券,czh,1500,1.048,2016/10/18,基金/进取/510900H股ETF
华泰证券,czh,700,1.377,2016/8/22,基金/进取/513500标普500
富国基金,czh,445.36,2.242,2016/9/19,基金/进取/100056富国低碳环保
富国基金,czh,429.83,2.323,2016/10/18,基金/进取/100056富国低碳环保
蚂蚁聚宝,czh,763.38,1.308,2016/7/28,基金/进取/100032富国中证红利指数增强
蚂蚁聚宝,czh,733.65,1.361,2016/8/18,基金/进取/100032富国中证红利指数增强
蚂蚁聚宝,czh,747.94,1.335,2016/9/19,基金/进取/100032富国中证红利指数增强
蚂蚁聚宝,czh,733.11,1.362,2016/10/19,基金/进取/100032富国中证红利指数增强
蚂蚁聚宝,czh,1010.52,0.9884,2016/8/26,基金/进取/000968广发中证养老指数A
蚂蚁聚宝,czh,1024.41,0.975,2016/9/19,基金/进取/000968广发中证养老指数A
蚂蚁聚宝,czh,448.56,2.226,2016/9/29,基金/进取/519712交银阿尔法核心混合
蚂蚁聚宝,czh,427.26,2.337,2016/10/18,基金/进取/519712交银阿尔法核心混合
富国基金,czh,2098.18,0.761,2016/2/3,基金/进取/161024军工etf
富国基金,czh,31652.55,1.019000049,2016/2/4,基金/进取/161024军工etf
富国基金,czh,980.18,1.020220776,2016/2/4,基金/进取/161024军工etf
富国基金,czh,1928.19,1.03724218,2016/3/17,基金/进取/161024军工etf
富国基金,czh,894.98,1.117343404,2016/4/20,基金/进取/161024军工etf
富国基金,czh,994.82,1.004000724,2016/5/18,基金/进取/161024军工etf
富国基金,czh,938.72,1.064002045,2016/6/23,基金/进取/161024军工etf
富国基金,czh,851.49,1.173002619,2016/7/16,基金/进取/161024军工etf
华泰证券,czh,1000,1.036,2016/8/18,基金/进取/512660军工etf
华泰证券,czh,1000,0.993,2016/9/19,基金/进取/512660军工etf
