机构,户头,成交数量,成交单价,成交金额,成交日期,权益类持仓
国泰君安,czh,200,6.221,1903/5/28,42541,基金/进取/510500500EFT
国泰君安,czh,200,6.726,1903/9/11,42569,基金/进取/510500500EFT
华泰证券,czh,200,6.787,1903/9/18,42600,基金/进取/510500500EFT
华泰证券,czh,200,6.621,1903/8/16,42632,基金/进取/510500500EFT
华泰证券,czh,100,6.815,1901/11/11,42661,基金/进取/510500500EFT
国泰君安,czh,1500,1.097,1904/7/2,42226,基金/进取/510900H股ETF
国泰君安,czh,1500,0.99,1904/1/24,42257,基金/进取/510900H股ETF
国泰君安,czh,100,0.992,1900/4/8,42258,基金/进取/510900H股ETF
国泰君安,czh,300,0.974,1900/10/18,42261,基金/进取/510900H股ETF
国泰君安,czh,300,1.063,1900/11/13,42293,基金/进取/510900H股ETF
国泰君安,czh,500,1.055,1901/6/10,42318,基金/进取/510900H股ETF
国泰君安,czh,600,0.988,1901/8/14,42356,基金/进取/510900H股ETF
国泰君安,czh,200,0.957,1900/7/9,42375,基金/进取/510900H股ETF
国泰君安,czh,700,0.898,1901/9/19,42380,基金/进取/510900H股ETF
国泰君安,czh,1300,0.894,1903/3/7,42446,基金/进取/510900H股ETF
国泰君安,czh,1100,0.916,1902/10/3,42478,基金/进取/510900H股ETF
国泰君安,czh,1400,0.859,1903/4/16,42507,基金/进取/510900H股ETF
国泰君安,czh,1900,0.895,1904/8/26,42541,基金/进取/510900H股ETF
国泰君安,czh,100,0.977,1900/4/11,42569,基金/进取/510900H股ETF
国泰君安,czh,700,0.977,1901/11/18,42569,基金/进取/510900H股ETF
华泰证券,czh,700,1.033,1901/12/23,42600,基金/进取/510900H股ETF
华泰证券,czh,1000,1.049,1902/11/14,42632,基金/进取/510900H股ETF
华泰证券,czh,1500,1.048,1904/4/20,42661,基金/进取/510900H股ETF
华泰证券,czh,700,1.377,1902/8/21,42604,基金/进取/513500标普500
富国基金,czh,445.36,2.242,1902/9/26,42632,基金/进取/100056富国低碳环保
富国基金,czh,429.83,2.323,1902/9/26,42661,基金/进取/100056富国低碳环保
蚂蚁聚宝,czh,763.38,1.308,1902/9/26,42579,基金/进取/100032富国中证红利指数增强
蚂蚁聚宝,czh,733.65,1.361,1902/9/26,42600,基金/进取/100032富国中证红利指数增强
蚂蚁聚宝,czh,747.94,1.335,1902/9/26,42632,基金/进取/100032富国中证红利指数增强
蚂蚁聚宝,czh,733.11,1.362,1902/9/26,42662,基金/进取/100032富国中证红利指数增强
蚂蚁聚宝,czh,1010.52,0.9884,1902/9/26,42608,基金/进取/000968广发中证养老指数A
蚂蚁聚宝,czh,1024.41,0.975,1902/9/26,42632,基金/进取/000968广发中证养老指数A
蚂蚁聚宝,czh,448.56,2.226,1902/9/26,42642,基金/进取/519712交银阿尔法核心混合
蚂蚁聚宝,czh,427.26,2.337,1902/9/26,42661,基金/进取/519712交银阿尔法核心混合
富国基金,czh,2098.18,0.761,1910/11/17,42403,基金/进取/161024军工etf
富国基金,czh,31652.55,1.019000049,2042/5/14,42404,基金/进取/161024军工etf
富国基金,czh,980.18,1.020220776,1902/9/26,42404,基金/进取/161024军工etf
富国基金,czh,1928.19,1.03724218,1905/6/22,42446,基金/进取/161024军工etf
富国基金,czh,894.98,1.117343404,1902/9/26,42480,基金/进取/161024军工etf
富国基金,czh,994.82,1.004000724,1902/9/26,42508,基金/进取/161024军工etf
富国基金,czh,938.72,1.064002045,1902/9/26,42544,基金/进取/161024军工etf
富国基金,czh,851.49,1.173002619,1902/9/26,42567,基金/进取/161024军工etf
华泰证券,czh,1000,1.036,1902/11/1,42600,基金/进取/512660军工etf
华泰证券,czh,1000,0.993,1902/9/19,42632,基金/进取/512660军工etf
华泰证券,czh,1100,0.962,1902/11/23,42641,基金/进取/512660军工etf
华泰证券,czh,1000,1.006,1902/10/2,42662,基金/进取/512660军工etf
蚂蚁聚宝,czh,968.48,1.031,1902/9/26,42642,基金/进取/002449民生加银量化
蚂蚁聚宝,czh,952.77,1.048,1902/9/26,42661,基金/进取/002449民生加银量化
华泰证券,czh,600,1.661,1902/9/22,42625,基金/进取/513100纳指EFT
华泰证券,czh,600,1.699,1902/10/15,42634,基金/进取/513100纳指EFT
华泰证券,czh,100,1.022,1900/4/11,42614,基金/进取/510810上海国企
华泰证券,czh,900,1.013,1902/6/29,42615,基金/进取/510810上海国企
华泰证券,czh,1000,1,1902/9/26,42632,基金/进取/510810上海国企
华泰证券,czh,1000,1.004,1902/9/30,42662,基金/进取/510810上海国企
蚂蚁聚宝,czh,1379.56,0.724,1902/9/26,42577,基金/进取/001051上证50ETF
